ชื่ออุปกรณ์,หมวดหมู่,Safety Stock,คงเหลือ,หน่วย,สถานที่,สถานะ
"ROUTER (เราเตอร์)","hardware","5","6","ชิ้น","IT","ปกติ"
"USB Hub","hardware","5","9","ชิ้น","IT","ปกติ"
"USB Type C","อุปกรณ์ต่อพ่วง","10","12","ชิ้น","IT","ปกติ"
"กล้องวงจรปิด","hardware","5","6","ชิ้น","IT","ปกติ"
"ขาตั้ง Tablet","อุปกรณ์ต่อพวง","5","5","ชิ้น","IT","ปกติ"
"ขาตั้งกล้อง","อุปกรณ์ต่อพ่วง","10","20","ชิ้น","IT","ปกติ"
"คีย์บอร์ด","hardware","5","4","ชิ้น","IT","⚠️ ต่ำกว่า Safety Stock"
"เครื่องปริ้นสลิป","hardware","5","9","ชิ้น","IT","ปกติ"
"เครื่องสำรองไฟ","hardware","5","2","ชิ้น","IT","⚠️ ต่ำกว่า Safety Stock"
"แฟลชไดร์ฟ","hardware","5","4","ชิ้น","IT","⚠️ ต่ำกว่า Safety Stock"
"เมมโมรี่กล้อง","hardware","5","22","ชิ้น","สำนักงานใหย๋","ปกติ"
"เมาส์","อุปกรณ์ต่อพ่วง","5","6","ชิ้น","IT","ปกติ"
"เมาส์มีสาย","อุปกรณ์ต่อพ่วง","5","4","ชิ้น","IT","⚠️ ต่ำกว่า Safety Stock"
"สมุดเคลมสินค้า","อื่นๆ","10","2","ชิ้น","SAFETY STOCK","⚠️ ต่ำกว่า Safety Stock"
"หมึกเครื่อง M3870FW","หมึกปริ้นเตอร์ ","2","1","ชิ้น","IT","⚠️ ต่ำกว่า Safety Stock"
